Longest river in the world?,Geography,Amazon. Nile. Yangtze,Nile
Second longest river in the world,Geography,Amazon. Nile. Yangtze,Amazon
Longest river in the UK,Geography,Avon. Severn. Thames,Severn
Second longest river in the UK,Geography,Avon. Severn. Thames,Thames
The rain in Spain is a song from which 1964 musical?,,,My fair lady
Pollinosis is associated with what allergy,,Eczema. Hayfever. ,Hayfever
What age of man preceded the bronze age?,History,Silver. Gold. Iron,Silver age
When is St Georges day,History,,23rd April
Off the coast of which country was the Battle of Trafalgar fought? ,History,France. England. Spain,Spain
What year was the battle of trafalgar?,History,,1805
What sea does the River Rhine flow into?,Geography,Black sea. North sea. Baltic sea,North sea
Which of these is not a name of a book in the Bible?,Religion,Jebediah. Nehemiah. Zepheniah,Jebediah
In Glasgow what is GoMA?,,Art gallery. Underground Transport. Football stadium,Art gallery
If you 'cozen' someone what do you do to them?,Language,Cheat them. Heal them. Praise them,Cheat them
The River Don flows through which Yorkshire city,Geography,Sheffield. York. Leeds,Sheffield
Mount McKinley is in what continent,Geography,Australia. America. Europe,America
What's the highest mountain in the world,Geography,,Mount Everest
What's the highest mountain in Europe,Geography,,Mount Elbrus (Russia)
What's the highest mountain in the UK,Geography,,Ben Nevis
What's the highest mountain in England,Geography,,Scafell Pike
Which US state is nicknamed 'The heart of Dixie',Geography,Alabama. Georgia. Mississippi,Alabama
Winston Churchill described which WW2 event as 'their finest hour',History,Battle of Britain. D-Day landings. Liberation of Paris,Battle of Britain
What medical name is used for a gap in the front two teeth?,Medical,Diastema. Lunula. Philtrum,Diastema
What was the first European country to win the FIFA world cup?,Sports,Italy. England. France,Italy
Neophilia is a love of all things what?,,Neon. New. Neopolitan,New
Which dance is based on a bullfight?,,Bolero. Flamenco. Paso doble,Paso doble
In which country was the titanic built?,History,England. Scotland. Northern Ireland,Northern Ireland
In which African country are there lakes called Albert  Edward and George,Geography,Tanzania. Kenya. Uganda,Uganda
Which of these comedians died first,,Norman Wisdom. Ronnie Barker. Bernard Manning.,Ronnie Barker
What are the only two double-landlocked countries?,Geography,,Liechtenstein and Uzbekistan
What does the term 'feng shui' translate as?,Language,Wind and water. Calm and space. Clean and silent,Wind and water
What's the fastest pace of a horse?,,,Gallop
In 1909 the Cunard liner 'Slavonia' was the first ship to send which distress signal?,History,,S.O.S
How were the parliamentarians in the English civil war better known?,History,,Roundheads
What do you call sports events involving both professionals and amateurs?,Sports,,Pro-am
By which process do plants take in carbon dioxide and release oxygen,Science,,Photosynthesis
In cockney rhyming slang how much is a monkey?,Language,Â£25. Â£100. Â£500,Â£500
In cockney rhyming slang how much is a pony?,Language,Â£25. Â£100. Â£500,Â£25
What type of bacon gets its name from the Italian for 'little belly',Language,Prosciutto. Pancetta. Capocollo,Pancetta
When discovering the new world  where did Christopher Columbus land first?,History,Bahamas. Cuba. Hispaniola,Bahamas
Who was the lookout who discovered America before Christopher Columbus?,History,,Rodrigo de Triana
Which of these team sports is NOT played on ice?,Sports,Bandy. Curling. Shinty,Shinty
Which of these shapes ALWAYS has four sides of equal length?,Mathematics,Rhombus. Parallelogram. Rectangle,Rhombus
Which American patented the cotton gin?,,,Eli Whitney
The Severn  the Trent and the Ouse are all what?,Geography,,Rivers
In which county are all ten of England's highest peaks?,Geography,,Cumbria
Which is the second largest city in England?,Geography,,Birmingham
